"Legacy source ID","Current source URL","Current product name","Current category","Current displayed price (SOURCE VALUE, RUB)","Current price unit (SOURCE VALUE)","Dimensions (SOURCE VALUE)","Current availability text (SOURCE VALUE)","Existing slug","SKU","Launch status","OWNER CONFIRMED PRICE","OWNER CONFIRMED PRICE UNIT","OWNER CONFIRMED SALE UNIT","OWNER CONFIRMED MIN QUANTITY","OWNER CONFIRMED QUANTITY STEP","OWNER CONFIRMED DIMENSIONS","OWNER CONFIRMED AVAILABILITY","OWNER CONFIRMED CATEGORY","Owner notes","OWNER CONFIRMED FEATURED","OWNER CONFIRMED AVAILABILITY DISPLAY","OWNER CONFIRMED PANEL SIZE CM","OWNER CONFIRMED PANEL AREA M2","ORDERABLE WHILE AVAILABILITY UNASSIGNED"
"513448313281","https://marmixflex.ru/tproduct/1706353951-513448313281-serii-oniks","Серый оникс","Гибкий мрамор","2 000","за кв.м","","","serii-oniks","MF-MAR-0081","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"614722166851","https://marmixflex.ru/tproduct/1706353951-614722166851-silver-grei","Сильвер Грей","Гибкий мрамор","2 000","за кв.м","","","silver-grei","MF-MAR-0101","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"822748465101","https://marmixflex.ru/tproduct/1706353951-822748465101-anten","Антэн","Гибкий мрамор + Хит продаж","2 000","за кв.м","","","anten","MF-MAR-0139","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","YES","hidden until admin assignment","142 × 284","4.0328","NO"
"204925458781","https://marmixflex.ru/tproduct/1706353951-204925458781-almaz","Алмаз","Гибкий мрамор","2 000","за кв.м","","","almaz","MF-MAR-0027","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"695287222501","https://marmixflex.ru/tproduct/1706353951-695287222501-sirius-grin","Сириус Грин","Гибкий мрамор","2 000","за кв.м","","","sirius-grin","MF-MAR-0119","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"281148826111","https://marmixflex.ru/tproduct/1706353951-281148826111-sirius","Сириус","Гибкий мрамор","2 000","за кв.м","","","sirius","MF-MAR-0041","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"658053428881","https://marmixflex.ru/tproduct/1706353951-658053428881-skai","Скай","Гибкий мрамор","2 000","за кв.м","","","skai","MF-MAR-0108","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"918233673611","https://marmixflex.ru/tproduct/1706353951-918233673611-sherl","Шерл","Гибкий мрамор","2 000","за кв.м","","","sherl","MF-MAR-0154","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"663543412341","https://marmixflex.ru/tproduct/1706353951-663543412341-tai","Тай","Гибкий мрамор","2 000","за кв.м","","","tai","MF-MAR-0110","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"255959440111","https://marmixflex.ru/tproduct/1706353951-255959440111-terra-braun","Терра Браун","Гибкий мрамор","2 000","за кв.м","","","terra-braun","MF-MAR-0039","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"470072573311","https://marmixflex.ru/tproduct/1706353951-470072573311-tirol","Тироль","Гибкий мрамор","2 000","за кв.м","","","tirol","MF-MAR-0074","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"238548861441","https://marmixflex.ru/tproduct/1706353951-238548861441-tifani","Тифани","Гибкий мрамор","2 000","за кв.м","","","tifani","MF-MAR-0034","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"505537755351","https://marmixflex.ru/tproduct/1706353951-505537755351-fianit","Фианит","Гибкий мрамор","2 000","за кв.м","","","fianit","MF-MAR-0079","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"201741489601","https://marmixflex.ru/tproduct/1706353951-201741489601-haltsedon","Халцедон","Гибкий мрамор","2 000","за кв.м","","","haltsedon","MF-MAR-0023","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"887383577922","https://marmixflex.ru/tproduct/1706353951-887383577922-adzurra","Адзурра","Гибкий мрамор","2 000","за кв.м","","","adzurra","MF-MAR-0149","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"511642085842","https://marmixflex.ru/tproduct/1706353951-511642085842-alikante","Аликанте","Гибкий мрамор","2 000","за кв.м","","","alikante","MF-MAR-0080","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"845883427992","https://marmixflex.ru/tproduct/1706353951-845883427992-albion","Альбион","Гибкий мрамор","2 000","за кв.м","","","albion","MF-MAR-0144","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"310052418912","https://marmixflex.ru/tproduct/1706353951-310052418912-aldo","Альдо","Гибкий мрамор","2 000","за кв.м","","","aldo","MF-MAR-0046","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"500868654342","https://marmixflex.ru/tproduct/1706353951-500868654342-ametrin","Аметрин","Гибкий мрамор","2 000","за кв.м","","","ametrin","MF-MAR-0078","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
